creationTime,nickname,content,buy_time,点赞数,回复数,content_type,referenceName
2020-07-22 10:09:15,14445055146,"外形外观：美的的空调都挺好看的，外观时尚大气，比其他的款式要好看多了
冷暖效果：安装好就用了，制冷效果都很好，感觉很快，效果不错
静音效果：静音效果也不错，使用节能模式都没什么声音
节能省电：新的空调是最新的国家节能标准，新一级节能，效果真不错
产品特色：主要是款式好看，价格实惠，而且能买到新一级节能空调
送货安装：送货安装都很省心，速度也很快，隔天买隔天到，厉害?",2020-07-17 00:11:51,0,0,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-07-27 21:37:11,14465718356,第一次京东购买美的空调，不得不赞一下安装师傅很专业，装完所有东西也收拾好。空调性价比很高，外观简洁好看，静音，还有省电的模式，也可以手机app控制不同时间不同温度，远程@关系都是非常人性化的。支持国货支持美的，会推荐给朋友。,2020-07-25 11:40:04,3,2,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-08-09 23:19:09,14513454543,选了好久才决定选的美的i青春2.大件电器还是京东平台放心，货刚送到，装修师傅就来电话了，比我还急，外观看起来很好，制冷效果用了一个星期，16平不向阳的房间，效果杠杠的，声音还不大给父母用的，制热还没机会试，应该不会差，推荐,2020-07-24 20:16:34,1,2,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-07-27 18:38:42,14465107389,空调外观设计不错，非常智能化，WiFi非常便捷，晚上使用eco模式挺省电的，手机也可以自动控制空调。空调也非常智能化。买这款空调听说是一级能效，看起来挺省电的,2020-07-24 23:28:12,1,4,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-10-20 08:07:51,14774212312,"外形外观：外型好看，美观大方很结实。
冷暖效果：效果很好的，很快达到温度。
静音效果：声音非常小的，很静音。
节能省电：非常省电的，是一级的
产品特色：很美观，特色非常好的
送货安装：安装服务周到，非常到位。",2020-10-01 00:23:17,1,1,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-11-20 18:18:43,14937570955,外形时尚简洁，冷暖静音，新一级能效省点，美的老品牌值得信赖。安装师傅很耐心细致服务好，点赞本人不在家从安装位置到走管线方式都一一沟通的很清楚。,2020-10-31 22:14:56,0,2,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-08-25 20:17:17,14570407082,"非常好，宝贝很高大上，质量很好，看上去就给人一种高级感
，价格也合适，这次网购很愉快，大赞?静音很个性化，并且这款带一键防直吹，性价比绝对的高，京东物流也很快，值得购买，",2020-07-06 22:12:19,0,0,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-07-24 08:22:20,14452003263,"外形外观：圆润好看
冷暖效果：凉的很快，制热不知道
静音效果：不像评论说的声音很大，在可接受范围内
节能省电：新一级能效的，应该很省
产品特色：防直吹功能，以上都是&uarr;
送货安装：买了四台，到货师傅就联系就安装了，特别速度",2020-07-15 18:51:08,2,0,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-11-25 22:33:45,14962138970,外观精致，线条流畅，较喜欢此款产品，物流速度给力，安装后试了一下效果，杠杠的，安装师傅服务与技术水平非常棒。,2020-11-11 20:50:50,0,2,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-07-23 11:28:04,14449064839,空调制冷比较快，也安静，父母用起来很满意。有一键节能模式，父母用着省心，今年能过个愉快的夏天的。打算再入手一部柜机。,2020-07-20 20:28:14,1,1,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
